專家,內容摘要,相關標的
PCB專家(亮)-Calvin,"產業經歷10年以上於國內知名網路交換器網通廠服務3年，現任職公司網通單位SI/PI研發經理，整體網通產業服務超過6年經驗，專長於PCB高速訊號設計、材料選用、PCB fab選擇、疊層設計等等。曾經合作過AWS, Meta, Juniper等國際大廠！現在積極與Cisco, Meta, OpenAI合作800G/1.6T switch未來專案！也曾於OCP2023發表過800G NPO switch，主導所有高速訊號介面與電源供應網路之設計！","國內 :
緯創、台光電、聯茂、台燿、台玻、南亞、緯創、智邦、金像電、高技、旺矽"
PCB專家(金)-Mark,在伺服器PCB硬體設計超過 8 年以上經驗，曾經設計過北美第一線 Data Center 客戶的伺服器產品，對 data center 於硬體上的應用與組成有深入的了解，尤其在PCB stackup設計與CCL material的需求有完整的了解。,"國內海外：
NV、AMD、廣達、EMC、TUC、ITEQ、Shengyi、Doosan、Panasonic、GCE、Tripod、WUS、TTM、Delton、ISU、Unlmicron、VGT、Kinwong、Nanya、Asahi、Nittobo、Fultech、TGF、Shin Etsu、Taishan、CCP、Co-tech、TCF、Furukawa、Fukuda
"
玻纖布專家(亮)-Bruce,"資歷：
玻纖布全球前三大供應商擔任業務主管，了解相關製程。因公司為垂直整合，對玻纖絲、環氧樹脂、銅箔、銅箔基板、PCB等產品有基本的了解。曾接待終端客戶參觀工廠。與美國玻璃絲公司洽談合作計畫。負責海外保稅倉和寄售倉管理。","相關公司 :
南亞、台光電 、台燿、聯茂、Panasonic、Isola、力森諾科、台玻、富"
加密區塊鏈專家(金)-WaiWai,區塊鏈產業10年以上經歷，曾任世界上最大知名幣安交易所金融分析師講師及比特幣中國金融分析師，創辦加密貨幣商學院，北京、上海、新加坡、台北舉辦線下多次課程；Web3 區塊鏈多項專案代幣經濟顧問，善於交易與造市邏輯，產業深度研究與分析報告。,"海外：
BMNR、BLSH、CRCL、XYZ"
記憶體大廠專家(亮)-Jamie,具備半導體製程、DRAM 技術、客製代工、光罩改版與 Tape-out、製程良率提升、DRAM 測試、AI 語言模型微調等跨領域背景。熟悉 20 nm / 1B nm 製程(LPDDR / DDR / 3DIC / HBM)、DRAM 應用市場、客戶技術支援與跨部門協作。,國內海外：南亞科、TSMC、華邦、旺宏、威剛、十銓、創見、Micron、SK、Samsung、Amkor、NVIDIA、AMD
外商半導體設備專家(亮)(EUV/DUV) -GD,深耕半導體產業，專攻晶圓製造核心-光刻 (Photolithography) 製程設備。長期駐點並服務於 TSMC、Micron、Intel、UMC 等全球頂尖晶圓代工廠與記憶體龍頭，了解市場供需動態。對於機台硬體架構、奈米級精度校正及產線良率優化擁有深厚的實戰經驗。,國內海外：TSMC、聯電、華邦電、南亞科、美光、ASML、Intel、Hynix、中芯、TI、意法半導體
HBM專家(亮)-Allen,"半導體年資20年，5年在DRAM前段廠做晶圓廠製程整合並參與12寸新廠建立過程，後來轉戰記憶體後段參與TSV 3 parties Joint Development 後來轉做新產品設計與導入，約莫14年封裝研發經驗。

負責台灣Commodity DDR, Graphics DDR, LPDDR, ASIC, mNAND, SSD BGA的封裝設計，發展，與全球DRAM新產品導入，HBM mechanical line yield 改善","國內海外：
美光、力成科技、日月光控股集團、台積電、慧榮科技、群聯電子、特斯拉、三星、海力士、蘋果、英特爾、谷歌
"
半導體探針卡專家(亮)-Jerry,"在半導體產業具備深厚實務與研發經驗，專注於探針卡開發、產品創新與專利策略。擁有半導體物理、材料分析、製程整合及產品驗證的專業背景，並帶領團隊推動探針卡技術升級與材料應用突破。熟稔跨領域技術整合，致力於推動半導體測試技術的前瞻發展。

最新資訊分享：
1. TPU v8 博通& MTK分配
2. 精測26年北美客戶大量訂單 設備廠&ASIC
3. 穎崴主導的合作案協同同業 接洽nV案件並打擊競業
4. FFI及雍智合作 高機率拿下大量ASIC CP探針卡訂單
5. 馬來西亞機台商的合作案與台灣市場掛牌佈局 以接洽國內券商輔導
","國內海外：
精測、穎威、台積電、聯發科、世芯、群聯、南亞、Nvidia、Qualcomm、Micron、Marvell、小米
"
AI Server電源專家(金)-David,"現職： IDM 大廠資深工程師
15+年半導體產業經驗，專精第三代半導體功率元件應用與供應鏈管理。對全球晶圓代工及供應鏈生態具深厚洞察與人脈，掌握 AI 伺服器與 EV 產業的最新技術趨勢與供應鏈動態。
","海外: 
NVIDIA、AWS、Meta、Microsoft、Delta、Lite-On、Advanced Energy、FLEX、AcBel、Infineon、Chicony、Great wail、Vertiv 等AI伺服器電源供應鏈"
測試設備大廠專家(金)-Semi,超過15年以上經驗，熟悉晶片測試、晶元封裝測試設備及相關供應鏈管理。掌握特定account（如台積電、蘋果等）客戶需求資訊，可分享如：產能失衡比例、設備交期、市場競爭狀況、供需失衡程度、測試時間拉長比例等。對於AWS、Google等大廠未來GPU/ASIC測試與發展方向有所著墨。,"國內: 
泰瑞達、台積電、高通、聯發科
"
封裝測試大廠專家(亮)-Skylar,"封裝相關產業超過 10 年以上經驗，曾經負責北美客戶(Apple,Micron,Microsoft,Skyworks,Parade...)。
針對封裝領域基礎知識與現況發展有深入了解.目前主導先進封裝(CoWoS)合作專案導入.
","國內海外: 
矽品、台積電、日月光、至聖、印能、弘塑、譜瑞科技、Nvidia、AMD、Broadcom、Micron
"
雲端資安專家(金)-Vic,在雲端資安產業有七年的經驗，擅長公有雲（AWS、Azure）與資訊安全解決方案。曾任微軟雲端技術顧問，負責支援企業的雲端遷移和營運。針對產業趨勢以及主要網路安全廠商的商業模式提供深入的見解。,"國內海外：
Akamai、Cloudflare、Microsoft、AWS、伊雲谷、邁達特、CRWD、ZS、PANW、SentinelOne, Inc.、OKTA、TENB、HPE、精誠、中華資安、零壹、Checkpoint"
外商雲端軟體資深專家(亮)-Sky,"曾任：
Microsoft 台灣|金融業帳戶業務經理
Google Cloud|金融業雲端業務代表
Oracle|資深顧問業務經理
SAP|資深業務經理

背景：
超過 25 年 IT 業務開發與策略規劃經驗,專精於雲端運算 (Azure / GCP / Oracle / SAP)、企業 IT 架構、SaaS服務銷售、 ERP / CRM / AI 及數位轉型。
熟悉生成式 AI 在金融與企業應用場景,推動 Copilot、GenAI、AI+BI 結合新業務模式,促進企業導入 AI 技術以提升生產力與競爭力。
企業 IT 架構規劃專家,協助企業導入 ERP (SAP, Oracle)、CRM (Microsoft, Salesforce)、AI / BI 數據分析解決方案,提升業務效率。","國內海外：
MongoDB、PChome、緯創、Trend Micro、
Google、Microsoft、Oracle、SAP、Trustwave、Huawei、Extreme、3Com
"
電力電網專家(亮)-Ryan,12年以上資歷橫跨資料中心供電系統、智慧電網、能源轉型、AIoT、網通、以及統包工程，代表性實績為取得微軟在台大型資料中心之特高壓供電系統承攬合約，熟悉資料中心之供電系統架構，並已深入認識供電系統內使用之設備供應鏈及各級施工廠商,"國內：
華城、大同重電、中興電工、中鼎工程、廣運、森崴能源、台電、鴻海、熙特爾新能源

海外：
微軟、Google、Keppel DC、Vantage DC、GE、Siemens、Schneider、Alfa Laval、ABB
"
網通專家(金)-John,網通科技產業超過 25 年以上經驗，曾經當任知名網通品牌及ODM產品研發及行銷主管及執行國內外大型專案。專長低軌衛星網路通訊、AIoT（人工智慧物聯網） 移動通訊 4G 5G、專網、無線通訊 WiFi6/7及網路資訊安全等市場發展與應用。,"海外：
Netgear、Cisco、AT&T、Tmobile、Verizon、SpaceX"
模組廠BBU專家(亮)-Ben,"資歷：
14年以上的硬體開發經驗，專精於鋰離子電池模組、BMS、BBU、HVDC 等關鍵技術。熟悉高低壓電池管理系統、超級電容模組、逆變器設計與電動車電能系統。主要合作客戶包含台達、光寶等大廠，對業界供應鏈、法規要求與技術挑戰具深度理解。","國內：
順達、AES-KY、台達、新盛力、偉創力、光寶科

海外：
PANASONIC、SDI /、伊頓電氣、Murata"
生技醫療資深專家(金)-潘博士,"精通全球藥產業動向與研發趨勢，熟悉美股與港股藥廠發展。曾擔任多家國際藥廠BD高層。
專注於創新藥與前沿技術，包括 雙抗、下一代IO、siRNA、ADC、CAR-T、TCE 、減肥藥大戰系列等新興療法的研發趨勢與市場機會。

英國曼徹斯特大學Health Tech 博士畢業
","國內:
漢康, 生華科, 沛爾, 港股醫藥板塊

海外：
Novo Nordisk, Eli Lilly, Schrodinger, Arrowhead"
生物基因定序專家(亮)-A博士,"專家背景：
在生技醫療產,官,學,研並有投資近15年經驗，透過Top-down的策略搭配生技新藥的開發期程與風險，轉化爲深入淺出的投資邏輯，篩選出多元投資標的以符合各大法人的需求
-曾任：
前上市櫃生技公司策略投資資深經理
全球生技醫療分析師
全球生技醫療投資經理人
法國國家健康與醫學研究院訪問暨研究學者","國內:
藥明生物、保瑞

海外：
Samsung Biologicsp"
